Region,2016,2017,2018,2019,2020
U.S. total,18.84,20.12,18.58,21.02,20.65
California,18.19,19.61,18.73,21.31,21.17
Illinois,20.44,21.87,19.85,22.16,21.42
Indiana,19.31,20.74,18.58,21.14,20.36
Iowa,18.48,19.83,18.16,20.99,21.18
Kentucky,18.81,19.68,18.92,20.88,20.05
Maine,22.89,22.86,21.01,23.47,23.64
Michigan,19.29,20.43,18.71,21.2,20.24
Minnesota,19.01,19.9,18.46,21.33,22.09
Missouri,19.27,20.31,18.6,21.35,20.02
New York,19.3,20.43,18.8,21.08,19.89
Ohio,18.64,20.14,18,20.35,19.98
Oregon,20.91,23.09,21.76,24.53,24.49
Pennsylvania,19.47,20.88,18.96,21.43,20.29
Tennessee,19.82,21.98,19.94,22.01,21.23
Utah,18.29,19.91,18.23,20.7,20.4
Vermont,21.96,23.36,21.48,23.97,22.89
Virginia,19.95,21.21,19.22,21.21,21.36
Washington,19.5,21.16,19.56,21.66,20.26
Wisconsin,19.9,21.22,19.38,21.89,21.94
